signal_ts_ns,fill_ts_ns,direction,qty,buy_venue,sell_venue,buy_vwap,sell_vwap,expected_pnl,realized_pnl,edge_decay,status
141848681,147614496,coinbase->binance,0.25,coinbase,binance,29937.393149535284,29937.216694587136,0.7537212163606455,-4.534713886720056,5.288435103080701,FILLED
237765528,244212270,binance->coinbase,0.25,binance,coinbase,29902.8275966984,29883.744140328734,2.2049817877932583,-9.254379886284369,11.459361674077627,FILLED
247343207,252870292,coinbase->binance,0.25,coinbase,binance,29911.251037848004,29920.074735970677,0.9901216886764814,-2.281204309914756,3.2713259985912373,FILLED
247766427,256320547,coinbase->binance,0.25,coinbase,binance,29923.979111507404,29909.482106999134,3.485111352689273,-8.11212314356817,11.597234496257443,FILLED
390409664,396521070,binance->coinbase,0.25,binance,coinbase,29979.4769711134,29981.117425814355,2.023020350564366,-4.086971915898175,6.109992266462541,FILLED
408987403,414541179,coinbase->binance,0.25,coinbase,binance,29942.043775773705,29934.327845120308,1.0886356123683072,-6.419903433182299,7.508539045550606,FILLED
410299802,416587300,binance->coinbase,0.25,binance,coinbase,29943.143400379893,29938.966704340346,1.750928924719119,-5.535227850339652,7.286156775058771,FILLED
453619285,460011630,binance->coinbase,0.25,binance,coinbase,29976.021304000704,29972.7990067167,1.941832048139986,-5.301655286872119,7.243487335012105,FILLED
464712716,470194405,binance->coinbase,0.25,binance,coinbase,29952.690595127726,29951.909328586044,1.590911395657713,-4.688142098035314,6.279053493693027,FILLED
465443358,472346439,binance->coinbase,0.25,binance,coinbase,29947.51379069908,29940.524000008525,4.397944188275687,-6.238875762174757,10.636819950450445,FILLED
506286408,512387582,coinbase->binance,0.25,coinbase,binance,29935.07594399036,29929.992273612716,0.986104895756398,-5.76092480249099,6.747029698247388,FILLED
581398427,587615957,binance->coinbase,0.25,binance,coinbase,29904.476788893196,29895.71379732004,1.5462747874134948,-6.675543112465675,8.22181789987917,FILLED
628522661,634363340,coinbase->binance,0.25,coinbase,binance,29861.67118531245,29872.044588336117,1.0322167689419075,-1.8864185920310774,2.918635360972985,FILLED
697007828,702967586,binance->coinbase,0.25,binance,coinbase,29808.533961231344,29804.269841973495,0.8006276981959672,-5.536883496720293,6.33751119491626,FILLED
746968900,752456122,coinbase->binance,0.25,coinbase,binance,29747.04403961551,29744.77179704149,1.2808908238894219,-5.030003637319169,6.310894461208591,FILLED
772595299,778516162,coinbase->binance,0.25,coinbase,binance,29825.29630020918,29820.872375664287,2.9428745885988974,-5.579554385026313,8.52242897362521,FILLED
826004175,831758587,coinbase->binance,0.25,coinbase,binance,29767.935710046135,29767.422570242423,2.2445333212644982,-4.5934496504441995,6.837982971708698,FILLED
846608578,852721843,coinbase->binance,0.25,coinbase,binance,29836.59964505869,29834.037718713975,1.3487048258366485,-5.1158434366207075,6.464548262457356,FILLED
889462279,894518152,coinbase->binance,0.25,coinbase,binance,29720.415864029248,29718.298961605215,3.410814187805954,-4.9871821404913135,8.397996328297268,FILLED
890154989,896493233,coinbase->binance,0.25,coinbase,binance,29726.886313630202,29718.637850519583,5.704592726840019,-6.520736301544275,12.225329028384294,FILLED
890391533,896493233,coinbase->binance,0.25,coinbase,binance,29726.886313630202,29718.637850519583,4.969383018222288,-6.520736301544275,11.490119319766563,FILLED
949998030,956333423,binance->coinbase,0.25,binance,coinbase,29738.78147317145,29737.636951934175,2.0758389496413656,-4.746833078170312,6.822672027811677,FILLED
950040560,955668417,binance->coinbase,0.25,binance,coinbase,29730.025461151163,29737.636951934175,5.036724177773976,-2.557392272497964,7.59411645027194,FILLED
992140314,997932435,binance->coinbase,0.25,binance,coinbase,29777.888288877533,29773.16527229071,1.535524065196114,-5.646965088379147,7.182489153575261,FILLED
1015675863,1021789722,coinbase->binance,0.25,coinbase,binance,29765.156127745908,29761.970408530044,2.6114126321544973,-5.261043937166505,7.8724565693210025,FILLED
1015695540,1021307323,coinbase->binance,0.25,coinbase,binance,29765.156127745908,29762.26298255081,1.726161441255499,-5.18791506067646,6.914076501931959,FILLED
1086897071,1093325184,coinbase->binance,0.25,coinbase,binance,29786.550720295538,29777.52838479572,1.7527165007250005,-6.723115366223283,8.475831866948283,FILLED
1142943821,1148039468,binance->coinbase,0.25,binance,coinbase,29821.17840327995,29813.390664832634,2.582774995345062,-6.419332598476103,9.002107593821165,FILLED
1167179281,1173421413,coinbase->binance,0.25,coinbase,binance,29786.02633759832,29790.877098253204,2.999117030278285,-3.2554563249514104,6.254573355229695,FILLED
1195994413,1201714646,coinbase->binance,0.25,coinbase,binance,29791.32110983829,29799.40369900783,1.4559186857841269,-2.4484550035494976,3.9043736893336245,FILLED
1211126518,1216459401,binance->coinbase,0.25,binance,coinbase,29755.347705321037,29738.982192138217,0.8964132719856934,-8.553043900185003,9.449457172170696,FILLED
1215669355,1222693975,coinbase->binance,0.25,coinbase,binance,29733.728142330503,29733.772551552534,3.7364360806077457,-4.448959136302619,8.185395216910365,FILLED
1215716225,1222693975,coinbase->binance,0.25,coinbase,binance,29733.728142330503,29733.772551552534,3.2945004917573897,-4.448959136302619,7.743459628060009,FILLED
1218379310,1224593041,coinbase->binance,0.25,coinbase,binance,29739.203308304488,29733.688646948973,2.216252198044458,-5.839270102057526,8.055522300101984,FILLED
1282420608,1287994448,binance->coinbase,0.25,binance,coinbase,29774.09183706374,29787.900061655102,2.280900088092494,-1.015438450178408,3.296338538270902,FILLED
1297373697,1304186565,binance->coinbase,0.25,binance,coinbase,29752.08495759024,29742.702515584177,1.3936082218506272,-6.80748500095342,8.201093222804047,FILLED
1306765622,1313097510,coinbase->binance,0.25,coinbase,binance,29697.417452687805,29696.111991036323,2.534420260164552,-4.780912757691112,7.315333017855664,FILLED
1438922269,1444730766,coinbase->binance,0.25,coinbase,binance,29767.06445889941,29751.93746950321,1.3954298382286652,-8.246050668415592,9.641480506644257,FILLED
1519618400,1526501759,binance->coinbase,0.25,binance,coinbase,29722.747115079183,29717.002873438723,4.897096604993749,-5.893898053212979,10.790994658206728,FILLED
1519674142,1525184198,binance->coinbase,0.25,binance,coinbase,29717.58929151821,29717.002873438723,5.513588266292572,-4.604184271791382,10.117772538083955,FILLED
1520332382,1526501759,binance->coinbase,0.25,binance,coinbase,29722.747115079183,29717.002873438723,1.7417308662206779,-5.893898053212979,7.635628919433657,FILLED
1763722384,1769158576,coinbase->binance,0.25,coinbase,binance,29457.830279445123,29456.283929681227,0.8510152873750485,-4.805184665402521,5.65619995277757,FILLED
1811637823,1817534043,coinbase->binance,0.25,coinbase,binance,29430.550050599348,29404.872570672665,1.3150733000175023,-10.832668615264083,12.147741915281586,FILLED
1845057869,1851612380,binance->coinbase,0.25,binance,coinbase,29404.672768477063,29401.95154489597,1.4434035221083832,-5.090734688186785,6.534138210295168,FILLED
1878613334,1884512938,binance->coinbase,0.25,binance,coinbase,29423.34255294895,29404.876741870306,1.4016694474194082,-9.028107571495639,10.429777018915047,FILLED
1916275337,1922935478,coinbase->binance,0.25,coinbase,binance,29297.693835247515,29306.45687063337,1.306918099563518,-2.204333380593198,3.511251480156716,FILLED
2053180071,2058999380,coinbase->binance,0.25,coinbase,binance,29199.835062197562,29208.65496281499,2.4625132768705953,-2.175441100003809,4.637954376874404,FILLED
2297667685,2304070754,binance->coinbase,0.25,binance,coinbase,29192.912562959766,29170.77098600603,1.396050896264569,-9.912116965181667,11.308167861446236,FILLED
2338153193,2345330346,binance->coinbase,0.25,binance,coinbase,29257.21415220149,29259.568852831562,1.1040381609382166,-3.8001424353751645,4.904180596313381,FILLED
2420655615,2426954635,coinbase->binance,0.25,coinbase,binance,29176.20628963044,29192.402475556577,2.574809423419538,-0.3281942712073942,2.903003694626932,FILLED
2459501844,2464835251,binance->coinbase,0.25,binance,coinbase,29157.767869894156,29161.49983040105,0.8818610266516771,-3.441048249810592,4.322909276462269,FILLED
2460869334,2467503218,binance->coinbase,0.25,binance,coinbase,29157.767869894156,29152.8939304492,2.884444401964174,-5.591662647778321,8.476107049742495,FILLED
2690017539,2696301072,coinbase->binance,0.25,coinbase,binance,29318.359923785592,29314.964495488246,2.61655726180652,-5.246441291488736,7.862998553295256,FILLED
2807492765,2813618184,coinbase->binance,0.25,coinbase,binance,29346.318515209638,29346.696198447957,1.1508845907501382,-4.307545851863324,5.458430442613462,FILLED
2876577072,2882362493,binance->coinbase,0.25,binance,coinbase,29350.062318444412,29352.323500872142,1.4089819541568431,-3.837439859076767,5.24642181323361,FILLED
2876634961,2883603397,binance->coinbase,0.25,binance,coinbase,29350.062318444412,29361.549251796547,1.663502190629515,-1.5319247030683982,3.1954268936979133,FILLED
2934755917,2940973392,coinbase->binance,0.25,coinbase,binance,29349.05712076511,29345.30661515342,1.1095922595977754,-5.339797445756631,6.449389705354406,FILLED
2953474410,2959881522,coinbase->binance,0.25,coinbase,binance,29351.390636336906,29348.513241227432,4.296534857265215,-5.121913503063297,9.418448360328512,FILLED
3141693969,3148251032,binance->coinbase,0.25,binance,coinbase,29548.249343332547,29549.194105070957,3.58176493760584,-4.19614144307161,7.77790638067745,FILLED
3189980186,3195460785,coinbase->binance,0.25,coinbase,binance,29491.546416270827,29485.488077742364,1.2744575346214333,-5.938013677629897,7.21247121225133,FILLED
3222489956,3228249316,coinbase->binance,0.25,coinbase,binance,29518.854191174512,29523.577887696534,1.0268750166042082,-3.2471401829971,4.274015199601308,FILLED
3275614036,3280689968,coinbase->binance,0.25,coinbase,binance,29477.346977438057,29473.56245962109,0.7965419802631004,-5.367542274966581,6.164084255229682,FILLED
3410286645,3416280692,binance->coinbase,0.25,binance,coinbase,29363.323369323596,29358.63458094798,2.6105610498507303,-5.576226720465456,8.186787770316187,FILLED
3454455805,3460952170,coinbase->binance,0.25,coinbase,binance,29464.207949538617,29454.80795107456,2.23698308767689,-6.769160808522429,9.006143896199319,FILLED
3724941084,3730477446,binance->coinbase,0.25,binance,coinbase,29633.46373485749,29633.50274211801,2.435988867512606,-4.435271645825196,6.871260513337802,FILLED
3782069215,3787358516,coinbase->binance,0.25,coinbase,binance,29627.39365674954,29623.817197233388,0.8770944415364283,-5.338045104574121,6.215139546110549,FILLED
4005065328,4010828658,binance->coinbase,0.25,binance,coinbase,29461.31972750729,29460.20695320761,1.3933491453362876,-4.697280256616068,6.090629401952356,FILLED
4024343878,4029777213,coinbase->binance,0.25,coinbase,binance,29468.000543681017,29465.4266017353,1.9234481905587018,-5.0635568708839855,6.987005061442687,FILLED
4142195677,4148672167,binance->coinbase,0.25,binance,coinbase,29461.153083191864,29473.05262934653,1.1510136067154235,-1.445476378427884,2.5964899851433074,FILLED
4143174569,4149471624,binance->coinbase,0.25,binance,coinbase,29475.31639450777,29473.05262934653,1.4268380737858024,-4.98701237296973,6.413850446755532,FILLED
4159059644,4164258922,binance->coinbase,0.25,binance,coinbase,29455.707448735222,29455.83660199245,0.7647159987036503,-4.38608071832914,5.15079671703279,FILLED
4421281525,4426800772,binance->coinbase,0.25,binance,coinbase,29487.79750656442,29484.940134624554,1.154545492602665,-5.137226873757754,6.291772366360419,FILLED
4531400065,4536482960,coinbase->binance,0.25,coinbase,binance,29472.78228165486,29464.774300867084,2.462250324766501,-6.422512140153231,8.884762464919731,FILLED
4556008160,4561612438,coinbase->binance,0.25,coinbase,binance,29479.911109879733,29470.469432198042,1.2642427136770493,-6.781934003020979,8.046176716698028,FILLED
4568355081,4574383437,binance->coinbase,0.25,binance,coinbase,29479.495832295146,29474.833440565384,0.9160554978161599,-5.587056068111451,6.503111565927611,FILLED
4599900686,4605263072,coinbase->binance,0.25,coinbase,binance,29542.853469184924,29540.26658646351,1.2510994059957739,-5.078019356595178,6.3291187625909515,FILLED
4630454824,4636987224,binance->coinbase,0.25,binance,coinbase,29473.963188893227,29501.241376045113,7.649490728193996,2.3957244909224755,5.25376623727152,FILLED
4630482439,4636186379,binance->coinbase,0.25,binance,coinbase,29502.304429030086,29501.241376045113,4.195613992314065,-4.691002605299218,8.886616597613283,FILLED
4636987224,4643151730,binance->coinbase,0.25,binance,coinbase,29474.60302435031,29467.03796087274,2.395724490923385,-6.311699816697001,8.707424307620386,FILLED
4665202652,4672089918,binance->coinbase,0.25,binance,coinbase,29460.500567388,29476.35309231542,1.0383649691984829,-0.45752910574537964,1.4958940749438625,FILLED
4791963677,4798286381,coinbase->binance,0.25,coinbase,binance,29423.29726017331,29411.212822180372,1.9840099460234342,-7.43399986536042,9.418009811383854,FILLED
4832231165,4837823470,binance->coinbase,0.25,binance,coinbase,29327.87225557481,29337.71594031423,0.9485034756507957,-1.9392440219553464,2.887747497606142,FILLED
4905815248,4912534126,binance->coinbase,0.25,binance,coinbase,29272.451758475763,29269.942765437467,2.8621895333808425,-5.017865124042146,7.880054657422988,FILLED
5025711866,5032667027,coinbase->binance,0.25,coinbase,binance,29195.624297035978,29185.833235288635,1.662216227110548,-6.826619528304036,8.488835755414584,FILLED
5030277084,5036712528,binance->coinbase,0.25,binance,coinbase,29211.463674758987,29202.259300291298,1.0517476306749813,-6.681892730689469,7.733640361364451,FILLED
5037544864,5043583862,binance->coinbase,0.25,binance,coinbase,29165.578449134344,29173.645778204795,1.2264640307448644,-2.358811232664266,3.5852752634091303,FILLED
5045226224,5051773100,binance->coinbase,0.25,binance,coinbase,29165.68791695997,29162.30989064987,2.3390183582087047,-5.219021962438092,7.558040320646796,FILLED
5142893632,5149367104,binance->coinbase,0.25,binance,coinbase,29174.131691275386,29179.450040026357,0.7299038464288969,-3.0470644008237286,3.7769682472526256,FILLED
5170433431,5177215908,binance->coinbase,0.25,binance,coinbase,29171.445386668434,29184.697502150786,1.3755186339758438,-1.0640131489608393,2.439531782936683,FILLED
5248053880,5253663540,binance->coinbase,0.25,binance,coinbase,29226.703840854734,29234.621081222114,2.5060903172134203,-2.405487208319755,4.9115775255331755,FILLED
5267448665,5273254221,coinbase->binance,0.25,coinbase,binance,29211.775924567228,29215.297707922196,1.5879698936250861,-3.501496639110883,5.089466532735969,FILLED
5327171476,5332970549,binance->coinbase,0.25,binance,coinbase,29298.79334693054,29298.68244180313,1.5193967862996942,-4.422534193379761,5.941930979679455,FILLED
5328144545,5333976731,binance->coinbase,0.25,binance,coinbase,29298.79334693054,29311.291846979602,1.2790009071059103,-1.27144383977884,2.55044474688475,FILLED
5393802161,5399382883,binance->coinbase,0.25,binance,coinbase,29365.712378490072,29371.496594638138,1.9337686994349497,-2.9593812413722844,4.893149940807234,FILLED
5429421642,5435550391,binance->coinbase,0.25,binance,coinbase,29381.736024231057,29377.48176876511,0.8582375238465829,-5.470398844574447,6.32863636842103,FILLED
5459690730,5466521330,coinbase->binance,0.25,coinbase,binance,29367.606962897873,29363.96378632833,1.0299479937502838,-5.315753027991377,6.345701021741661,FILLED
5626547414,5632829115,binance->coinbase,0.25,binance,coinbase,29381.29129478646,29378.323266515163,1.7604472831490057,-5.148903959216113,6.909351242365119,FILLED
5627381898,5632829115,binance->coinbase,0.25,binance,coinbase,29381.29129478646,29378.323266515163,2.178008395408142,-5.148903959216113,7.326912354624255,FILLED
5711938283,5718968269,coinbase->binance,0.25,coinbase,binance,29352.709442782074,29348.293723398503,2.1447288856033992,-5.506615476340812,7.651344361944211,FILLED
5725389542,5731171957,binance->coinbase,0.25,binance,coinbase,29362.740997016666,29359.374534053688,0.99647901247954,-5.245690244000798,6.242169256480338,FILLED
5730516825,5736330150,coinbase->binance,0.25,coinbase,binance,29361.652251341697,29354.291074303586,1.3574591780115952,-6.244174038377423,7.601633216389018,FILLED
